Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Marcin Gortat,2011,C,PHX,"$5,465,637",$0,"$6,790,640",0.11699999999999999,"$5,465,637","$6,790,640",5,"$33,953,200","$18,780,637",2014,2009,24
Trevor Ariza,2011,SF,WAS,"$5,465,637",$0,"$6,790,640",0.11699999999999999,"$5,465,637","$6,790,640",5,"$33,953,200","$28,009,235",2014,2009,23
J.J. Redick,2011,SG,ORL,"$5,231,707","$201,220","$6,750,000",0.11599999999999999,"$5,231,707","$6,563,333",3,"$19,690,000","$21,571,715",2013,2010,25
Andray Blatche,2011,C,WAS,"$5,185,091",$0,"$6,442,083",0.111,"$5,185,091","$4,110,350",5,"$20,551,752","$20,357,731",2012,2007,20
Al Harrington,2011,PF,DEN,"$5,011,332",$0,"$6,226,200",0.107,"$5,011,332","$6,687,400",5,"$33,437,000","$73,638,744",2013,2010,29
Drew Gooden,2011,PF,MIL,"$5,011,332",$0,"$6,226,200",0.107,"$5,011,332","$6,409,680",5,"$32,048,400","$48,600,704",2013,2010,28
Jermaine O'Neal,2011,C,BOS,"$5,011,332",$0,"$6,226,000",0.107,"$5,011,332","$5,995,500",2,"$11,991,000","$164,226,972",2012,2010,31
Josh Childress,2011,SF,PHX,"$4,829,268",$0,"$6,000,000",0.10300000000000001,"$4,829,268","$6,250,000",2,"$12,500,000","$22,992,197",2012,2010,26
Francisco Garcia,2011,SG,SAC,"$4,668,293",$0,"$5,800,000",0.1,"$4,668,293","$5,800,000",4,"$23,200,000","$21,229,547",2014,2009,27
Kyle Lowry,2011,PG,HOU,"$4,628,049",$0,"$5,750,000",0.099,"$4,628,049","$5,865,000",4,"$23,460,000","$15,675,966",2014,2010,23
Blake Griffin,2011,PF,LAC,"$4,612,820",$0,"$5,731,080",0.099,"$4,612,820","$5,824,671",4,"$23,298,682","$14,953,530",0,2009,19
Luke Walton,2011,SF,CLE,"$4,571,707",$0,"$5,680,000",0.098,"$4,571,707","$5,048,561",6,"$30,291,363","$26,703,684",2013,2007,26
O.J. Mayo,2011,SG,MEM,"$4,533,585",$0,"$5,632,636",0.09699999999999999,"$4,533,585","$4,532,359",4,"$18,129,437","$17,030,745",2012,2008,20
Derrick Rose,2011,PG,CHI,"$5,629,082",$0,"$5,629,082",0.09699999999999999,"$5,629,082","$5,636,787",4,"$22,547,148","$21,182,522",0,2008,19
Channing Frye,2011,PF,PHX,"$4,507,317",$0,"$5,600,000",0.096,"$4,507,317","$6,000,000",5,"$30,000,000","$21,836,206",2014,2010,26
John Wall,2011,PG,WAS,"$4,451,040",$0,"$5,530,080",0.095,"$4,451,040","$6,012,541",4,"$24,050,164","$9,595,320",0,2010,19
Amir Johnson,2011,PF,TOR,"$4,426,829",$0,"$5,500,000",0.095,"$4,426,829","$6,000,000",5,"$30,000,000","$21,489,800",2015,2010,22
Mike Miller,2011,SG,MIA,"$4,346,341",$0,"$5,400,000",0.09300000000000001,"$4,346,341","$5,800,000",5,"$29,000,000","$67,737,620",2015,2010,29
Martell Webster,2011,SF,MIN,"$4,237,683",$0,"$5,265,000",0.091,"$4,237,683","$5,030,250",4,"$20,121,000","$25,493,176",2012,2009,22
Louis Williams,2011,SG,PHI,"$4,166,049",$0,"$5,176,000",0.08900000000000001,"$4,166,049","$5,000,000",5,"$25,000,000","$20,523,368",2012,2008,21
Russell Westbrook,2011,PG,OKC,"$4,090,724",$0,"$5,082,415",0.08800000000000001,"$4,090,724","$4,087,364",4,"$16,349,456","$15,357,764",0,2008,19
Michael Beasley,2011,SF,MIN,"$5,040,426",$0,"$5,040,426",0.087,"$5,040,426","$5,044,537",4,"$20,178,147","$18,956,226",2012,2008,18
Kyle Korver,2011,SG,CHI,"$4,024,390",$0,"$5,000,000",0.086,"$4,024,390","$5,000,000",3,"$15,000,000","$32,005,366",2013,2010,28
Jason Maxiell,2011,PF,DET,"$4,024,390",$0,"$5,000,000",0.086,"$4,024,390","$5,000,000",4,"$20,000,000","$18,822,402",2013,2009,25
Evan Turner,2011,SF,PHI,"$3,982,408",$0,"$4,947,840",0.085,"$3,982,408","$5,380,877",4,"$21,523,507","$8,585,128",2014,2010,21
Wesley Matthews,2011,SG,POR,"$4,022,104","$915,951","$4,938,055",0.085,"$4,022,104","$6,505,320",5,"$32,526,600","$14,796,692",2015,2010,23
Darko Milicic,2011,PF,MIN,"$3,844,500",$0,"$4,776,500",0.08199999999999999,"$3,844,500","$4,505,750",2,"$9,011,500","$45,914,562",2012,2010,24
Brad Miller,2011,C,MIN,"$3,824,780",$0,"$4,752,000",0.08199999999999999,"$3,824,780","$5,000,000",3,"$15,000,000","$89,184,780",2013,2010,"2,009"
Zaza Pachulia,2011,C,ATL,"$3,823,171",$0,"$4,750,000",0.08199999999999999,"$3,823,171","$4,750,000",4,"$19,000,000","$29,811,398",2013,2009,24
Ronnie Brewer,2011,SF,CHI,"$3,790,976",$0,"$4,710,000",0.081,$0,"$4,166,667",3,"$12,500,000",$0,2012,2010,24
Kevin Love,2011,C,MIN,"$3,710,250",$0,"$4,609,704",0.079,"$3,710,250","$3,703,175",4,"$14,812,701","$13,913,250",0,2008,19
Linas Kleiza,2011,SF,TOR,"$3,706,463",$0,"$4,605,000",0.079,"$3,706,463","$4,700,000",4,"$18,800,000","$13,362,036",2013,2010,24
James Harden,2011,SG,OKC,"$3,706,270",$0,"$4,604,760",0.079,"$3,706,270","$4,458,842",4,"$17,835,366","$12,014,950",0,2009,19
Nikola Pekovic,2011,C,MIN,"$3,624,849",$0,"$4,503,600",0.078,"$3,624,849","$4,320,000",3,"$12,960,000","$7,794,849",2013,2010,23
Derrick Favors,2011,PF,UTA,"$3,576,363",$0,"$4,443,360",0.077,"$3,576,363","$4,834,539",4,"$19,338,156","$7,709,643",0,2010,18
Daniel Gibson,2011,SG,CLE,"$3,544,549",$0,"$4,403,834",0.076,"$3,544,549","$4,200,000",5,"$21,000,000","$16,448,557",2013,2008,21
Ramon Sessions,2011,PG,LAL,"$3,427,149",$0,"$4,257,973",0.073,"$3,427,149","$3,964,320",3,"$11,892,960","$12,211,816",2012,2009,22
Randy Foye,2011,SG,LAC,"$3,420,732",$0,"$4,250,000",0.073,"$3,420,732","$4,250,000",2,"$8,500,000","$19,142,133",2012,2010,26
Chris Andersen,2011,PF,DEN,"$3,407,854",$0,"$4,234,000",0.073,"$3,407,854","$4,139,100",3,"$12,417,300","$19,128,837",2012,2009,30
Danilo Gallinari,2011,SF,DEN,"$3,372,586",$0,"$4,190,182",0.07200000000000001,"$3,372,586","$3,364,326",4,"$13,457,302","$12,639,706",0,2008,19
Tyreke Evans,2011,SG,SAC,"$3,341,564",$0,"$4,151,640",0.07200000000000001,"$3,341,564","$4,223,616",4,"$16,894,464","$10,832,564",2013,2009,19
Wesley Johnson,2011,SF,MIN,"$3,224,406",$0,"$4,006,080",0.069,"$3,224,406","$4,006,080",3,"$12,018,240","$6,951,006",2013,2010,22
Ryan Gomes,2011,SF,LAC,"$3,219,512",$0,"$4,000,000",0.069,"$3,219,512","$4,000,000",2,"$8,000,000","$3,219,512",2012,2010,27
Steve Blake,2011,PG,LAL,"$3,219,512",$0,"$4,000,000",0.069,"$3,219,512","$4,000,000",4,"$16,000,000","$23,966,489",2014,2010,29
Hakim Warrick,2011,PF,PHX,"$3,219,512",$0,"$4,000,000",0.069,"$3,219,512","$4,500,000",4,"$18,000,000","$3,219,512",2014,2010,27
Dorell Wright,2011,SF,GSW,"$3,077,049",$0,"$3,823,000",0.066,"$3,077,049","$3,809,667",3,"$11,429,000","$17,833,835",2013,2010,24
Udonis Haslem,2011,PF,MIA,"$3,042,439",$0,"$3,780,000",0.065,"$3,042,439","$4,060,000",5,"$20,300,000","$37,779,416",2014,2010,29
C.J. Miles,2011,SF,UTA,"$2,978,049",$0,"$3,700,000",0.064,"$2,978,049","$3,700,000",4,"$14,800,000","$15,911,630",2012,2008,20
Luke Ridnour,2011,PG,MIN,"$2,961,951",$0,"$3,680,000",0.063,"$2,961,951","$4,000,000",4,"$16,000,000","$33,481,429",2014,2010,28
Tiago Splitter,2011,PF,SAS,"$2,955,512",$0,"$3,672,000",0.063,"$2,955,512","$3,672,000",3,"$11,016,000","$6,355,512",2013,2010,24
DeMarcus Cousins,2011,C,SAC,"$2,919,872",$0,"$3,627,720",0.063,"$2,919,872","$3,950,033",4,"$15,800,133","$6,294,512",2014,2010,19
Joel Anthony,2011,C,MIA,"$2,897,561",$0,"$3,600,000",0.062,"$2,897,561","$3,650,000",5,"$18,250,000","$8,161,738",2015,2010,27
Carlos Delfino,2011,SG,MIL,"$2,817,073",$0,"$3,500,000",0.06,"$2,817,073","$3,500,000",3,"$10,500,000","$14,594,110",2012,2009,26
Shaun Livingston,2011,PG,MIL,"$2,817,073",$0,"$3,500,000",0.06,"$2,817,073","$3,500,000",2,"$7,000,000","$21,153,037",2012,2010,24
Chris Duhon,2011,PG,ORL,"$2,817,073",$0,"$3,500,000",0.06,"$2,817,073","$3,750,000",4,"$15,000,000","$27,391,150",2013,2010,27
Brandon Bass,2011,PF,BOS,"$3,219,512",$0,"$3,420,732",0.059000000000000004,"$3,219,512","$4,000,000",4,"$16,000,000","$13,879,362",2012,2009,23
C.J. Watson,2011,PG,CHI,"$2,736,585",$0,"$3,400,000",0.059000000000000004,"$2,736,585","$3,250,000",2,"$6,500,000","$7,793,422",2012,2010,25
Timofey Mozgov,2011,C,DEN,"$2,691,428",$0,"$3,343,896",0.057999999999999996,"$2,691,428","$3,350,474",3,"$10,051,421","$6,258,524",2013,2010,23
Matt Bonner,2011,C,SAS,"$2,668,171",$0,"$3,315,000",0.057,"$2,668,171","$3,472,500",4,"$13,890,000","$18,993,448",2014,2010,29
Thabo Sefolosha,2011,SF,OKC,"$2,656,098",$0,"$3,300,000",0.057,"$2,656,098","$3,512,500",4,"$14,050,000","$14,081,326",2014,2010,25
Will Bynum,2011,PG,DET,"$2,615,854",$0,"$3,250,000",0.055999999999999994,"$2,615,854","$3,250,000",3,"$9,750,000","$7,490,402",2013,2010,26
Raja Bell,2011,SG,UTA,"$2,607,805",$0,"$3,240,000",0.055999999999999994,"$2,607,805","$3,240,000",3,"$9,720,000","$32,039,700",2013,2010,33
Tony Allen,2011,SG,MEM,"$2,535,366",$0,"$3,150,000",0.054000000000000006,"$2,535,366","$3,150,000",3,"$9,450,000","$15,312,403",2013,2010,27
Stephen Curry,2011,PG,GSW,"$2,508,901",$0,"$3,117,120",0.054000000000000006,"$2,508,901","$3,175,066",4,"$12,700,262","$8,133,301",0,2009,20
Corey Brewer,2011,SG,DEN,"$2,462,122",$0,"$3,059,000",0.053,"$2,462,122","$3,059,000",3,"$9,177,000","$17,218,354",2013,2010,23
Jerryd Bayless,2011,PG,TOR,"$2,448,664",$0,"$3,042,280",0.052000000000000005,"$2,448,664","$2,352,880",4,"$9,411,520","$8,877,904",2012,2009,20
Greg Monroe,2011,C,DET,"$2,421,009",$0,"$3,007,920",0.052000000000000005,"$2,421,009","$3,277,524",4,"$13,110,094","$5,219,049",2014,2010,19
Jason Thompson,2011,PF,SAC,"$2,415,668",$0,"$3,001,284",0.052000000000000005,"$2,415,668","$2,277,261",4,"$9,109,044","$8,523,428",2012,2008,21
Brandon Rush,2011,SG,GSW,"$2,379,749",$0,"$2,956,658",0.051,"$2,379,749","$2,189,757",4,"$8,759,027","$8,182,109",2012,2008,22
Anthony Randolph,2011,PF,MIN,"$2,343,186",$0,"$2,911,231",0.05,"$2,343,186","$2,105,948",4,"$8,423,791","$7,855,746",2012,2008,18
Robin Lopez,2011,C,PHX,"$2,304,046",$0,"$2,862,602",0.049,"$2,304,046","$2,024,791",4,"$8,099,162","$7,540,606",2012,2009,20
Jordan Hill,2011,C,LAC,"$2,298,539",$0,"$2,855,760",0.049,"$2,298,539","$2,669,520",3,"$8,008,560","$7,451,339",2012,2009,21
Marreese Speights,2011,PF,MEM,"$2,190,278",$0,"$2,721,254",0.047,"$2,190,278","$1,924,024",4,"$7,696,094","$7,165,118",2012,2008,20
Dahntay Jones,2011,SF,IND,"$2,173,171",$0,"$2,700,000",0.047,"$2,173,171","$2,650,000",4,"$10,600,000","$14,042,985",2013,2009,28
Ekpe Udoh,2011,C,GSW,"$2,652,041",$0,"$2,652,041",0.046,"$2,652,041","$3,588,607",4,"$14,354,428","$5,717,081",2014,2010,22
Roy Hibbert,2011,C,IND,"$2,083,499",$0,"$2,588,590",0.045,"$2,083,499","$1,828,668",4,"$7,314,670","$6,809,539",2012,2008,21
Ersan Ilyasova,2011,PF,MIL,"$2,045,195",$0,"$2,541,000",0.044000000000000004,"$2,045,195","$2,320,500",3,"$6,961,500","$7,528,666",2012,2009,21
Gordon Hayward,2011,SF,UTA,"$2,038,724",$0,"$2,532,960",0.044000000000000004,"$2,038,724","$2,762,796",4,"$11,051,183","$4,395,044",2014,2010,19
Brandon Jennings,2011,PG,MIL,"$2,007,140",$0,"$2,493,720",0.043,"$2,007,140","$2,543,213",4,"$10,172,853","$6,506,780",2013,2010,20
JaVale McGee,2011,C,DEN,"$1,981,931",$0,"$2,462,399",0.042,"$1,981,931","$1,738,080",4,"$6,952,320","$6,471,851",2012,2008,19
Quentin Richardson,2011,PF,ORL,"$1,968,893",$0,"$2,446,200",0.042,"$1,968,893","$2,355,600",2,"$4,711,200","$4,233,893",2012,2010,29
Paul George,2011,SG,IND,"$1,936,730",$0,"$2,406,240",0.040999999999999995,"$1,936,730","$2,625,256",4,"$10,501,023","$4,175,390",2014,2010,19
Louis Amundson,2011,PF,IND,"$1,934,122",$0,"$2,403,000",0.040999999999999995,"$1,934,122","$2,314,000",2,"$4,628,000","$6,715,276",2012,2010,27
J.J Hickson,2011,PF,POR,"$1,895,114",$0,"$2,354,536",0.040999999999999995,"$1,895,114","$1,660,534",4,"$6,642,137","$6,182,714",2012,2008,19
Cole Aldrich,2011,C,OKC,"$1,839,951",$0,"$2,286,000",0.039,"$1,839,951","$2,286,000",3,"$6,858,000","$3,966,471",2013,2010,21
Ben Wallace,2011,C,DET,"$2,246,400",$0,"$2,246,400",0.039,"$2,246,400","$2,160,000",2,"$4,320,000","$87,800,795",2012,2010,"2,009"
Ryan Anderson,2011,PF,ORL,"$1,806,629",$0,"$2,244,600",0.039,"$1,806,629","$1,548,990",4,"$6,195,961","$5,758,589",2012,2008,19
Courtney Lee,2011,SG,HOU,"$1,790,928",$0,"$2,225,092",0.038,"$1,790,928","$1,518,703",4,"$6,074,812","$5,640,648",2012,2008,22
Kosta Koufos,2011,C,DEN,"$1,773,784",$0,"$2,203,792",0.038,"$1,773,784","$1,474,948",4,"$5,899,792","$5,415,784",0,2008,18
Nicolas Batum,2011,SF,POR,"$1,734,805",$0,"$2,155,364",0.037000000000000005,"$1,734,805","$1,294,610",4,"$5,178,439","$5,090,965",2012,2008,19
Tyler Hansbrough,2011,PF,IND,"$1,934,122",$0,"$2,138,400",0.037000000000000005,"$1,934,122","$2,262,855",4,"$9,051,419","$5,791,882",2013,2009,23
DeMar DeRozan,2011,SG,TOR,"$2,112,805",$0,"$2,112,805",0.036000000000000004,"$2,112,805","$2,676,443",4,"$10,705,770","$6,849,325",0,2009,19
Goran Dragic,2011,PG,HOU,"$1,696,683",$0,"$2,108,000",0.036000000000000004,"$1,696,683","$1,904,000",4,"$7,616,000","$7,204,683",2012,2008,21
George Hill,2011,PG,IND,"$1,679,265",$0,"$2,086,359",0.036000000000000004,"$1,679,265","$1,332,850",4,"$5,331,400","$4,924,305",2012,2008,21
Ed Davis,2011,PF,TOR,"$1,660,496",$0,"$2,063,040",0.036000000000000004,"$1,660,496","$2,335,775",4,"$9,343,100","$3,579,656",2014,2010,20
Anthony Tolliver,2011,PF,MIN,"$1,650,000",$0,"$2,050,000",0.035,"$1,650,000","$2,125,000",2,"$4,250,000","$4,698,213",2012,2010,24
Darrell Arthur,2011,PF,MEM,"$1,631,583",$0,"$2,027,118",0.035,"$1,631,583","$1,294,610",4,"$5,178,438","$4,782,903",2012,2008,19
Patrick Patterson,2011,PF,HOU,"$1,577,529",$0,"$1,959,960",0.034,"$1,577,529","$2,246,325",4,"$8,985,301","$3,400,809",2014,2010,20
Austin Daye,2011,PF,DET,"$1,553,286",$0,"$1,929,840",0.033,"$1,553,286","$2,092,369",4,"$8,369,477","$5,034,846",2013,2009,20
Matt Barnes,2011,SF,LAL,"$1,529,268",$0,"$1,900,000",0.033,"$1,529,268","$1,832,500",2,"$3,665,000","$11,311,454",2012,2010,29
Larry Sanders,2011,C,MIL,"$1,498,619",$0,"$1,861,920",0.032,"$1,498,619","$2,159,752",4,"$8,639,008","$3,230,579",0,2010,21
Omer Asik,2011,C,CHI,"$1,495,061",$0,"$1,857,500",0.032,"$1,495,061","$1,789,250",2,"$3,578,500","$3,216,061",2012,2010,23
James Johnson,2011,PF,TOR,"$1,475,438",$0,"$1,833,120",0.032,"$1,475,438","$1,988,202",4,"$7,952,806","$4,783,118",2013,2009,21
Luke Babbitt,2011,SF,POR,"$1,423,668",$0,"$1,768,800",0.03,"$1,423,668","$1,768,840",3,"$5,306,520","$3,069,108",2013,2010,20
Jrue Holiday,2011,PG,PHI,"$1,401,647",$0,"$1,741,440",0.03,"$1,401,647","$1,889,465",4,"$7,557,861","$4,543,217",0,2009,18
Kevin Seraphin,2011,PF,WAS,"$1,352,485",$0,"$1,680,360",0.028999999999999998,"$1,352,485","$1,950,549",4,"$7,802,194","$2,915,605",2014,2010,20
