Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH
Dante Cunningham,2018,PF,UFA,BKN,SAS,1,"$2,487,000","$2,487,000","$2,487,000","$2,487,000","$2,487,000","$2,487,000"
Channing Frye,2018,PF,UFA,LAL,CLE,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Devin Harris,2018,PG,UFA,DEN,DAL,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Luol Deng,2018,SF,UFA,LAL,MIN,1,"$2,393,887","$2,393,887","$2,393,887","$2,393,887","$1,512,601","$2,393,887"
Amir Johnson,2018,C,UFA,PHI,PHI,1,"$2,393,887","$2,393,887","$2,393,887","$2,393,887","$1,512,601","$2,393,887"
Jose Calderon,2018,PG,UFA,CLE,DET,1,"$2,393,887","$2,393,887","$2,328,652","$2,393,887","$1,471,382","$1,471,382"
Vince Carter,2018,SG,UFA,SAC,ATL,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Raymond Felton,2018,PG,UFA,OKC,OKC,1,"$2,393,887","$2,393,887","$2,393,887","$2,393,887","$1,512,601","$2,393,887"
Zaza Pachulia,2018,C,UFA,GSW,DET,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Jeff Green,2018,PF,UFA,CLE,WAS,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Jamal Crawford,2018,SG,UFA,MIN,PHX,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Udonis Haslem,2018,PF,UFA,MIA,MIA,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
JaVale McGee,2018,C,UFA,GSW,LAL,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Jarrett Jack,2018,PG,UFA,NYK,NOP,1,"$2,393,887","$2,393,887",$0,$0,"$1,512,601","$2,393,887"
Gerald Green,2018,SG,UFA,HOU,HOU,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Derrick Rose,2018,PG,UFA,MIN,MIN,1,"$2,393,887","$2,393,887",$0,"$2,393,887",$0,$0
Jonas Jerebko,2018,PF,UFA,UTA,GSW,1,"$2,176,260","$2,176,260","$4,000,000","$2,176,260","$4,000,000","$4,000,000"
Omri Casspi,2018,SF,UFA,GSW,MEM,1,"$2,176,260","$2,176,260",$0,"$2,176,260",$0,$0
Greg Monroe,2018,C,UFA,BOS,TOR,1,"$2,165,481","$2,165,481",$0,"$2,165,481",$0,$0
Isaiah Thomas,2018,PG,UFA,LAL,DEN,1,"$2,029,463","$2,029,463",$0,"$2,029,463",$0,$0
Shelvin Mack,2018,PG,UFA,ORL,MEM,1,"$2,029,463","$2,029,463",$0,"$2,029,463",$0,$0
Michael Carter-Williams,2018,PG,UFA,CHA,HOU,1,"$1,757,429","$1,757,429",$0,"$1,200,000",$0,$0
Shabazz Muhammad,2018,SG,UFA,MIL,MIL,1,"$1,757,429","$1,757,429",$0,$0,"$1,512,601","$1,757,429"
Nick Young,2018,SG,UFA,GSW,DEN,1,"$1,650,024","$1,650,024",$0,$0,"$1,042,584","$1,650,024"
Nik Stauskas,2018,SG,UFA,BKN,POR,1,"$1,621,415","$1,621,415","$1,621,415","$1,621,415","$1,512,601","$1,621,415"
Bruno Caboclo,2018,SF,UFA,SAC,HOU,1,"$1,621,415","$1,621,415",$0,$0,"$1,512,601","$1,621,415"
Noah Vonleh,2018,PF,UFA,CHI,NYK,1,"$1,621,415","$1,621,415",$0,$0,$0,$0
Lorenzo Brown,2018,PG,UFA,TOR,TOR,1,"$1,621,415","$1,621,415","$800,000","$800,000","$1,512,601","$1,621,415"
Luke Kornet,2018,C,RFA,NYK,NYK,1,"$1,619,260","$1,619,260","$1,619,260","$1,619,260","$1,619,260","$1,619,260"
Jahlil Okafor,2018,C,RFA,BKN,NOP,1,"$1,567,007","$1,567,007",$0,"$50,000",$0,$0
Salah Mejri,2018,C,UFA,DAL,DAL,1,"$1,567,007","$1,567,007",$0,"$1,567,007",$0,$0
Troy Williams,2018,SF,UFA,NYK,NOP,1,"$1,512,601","$1,512,601",$0,$0,"$1,512,601","$1,512,601"
Kay Felder,2018,PG,UFA,DET,TOR,1,"$1,512,601","$1,512,601",$0,$0,"$1,512,601","$1,512,601"
Ryan Arcidiacono,2018,PG,UFA,CHI,CHI,1,"$1,349,383","$1,349,383",$0,$0,$0,$0
Kyle Collinsworth,2018,PG,UFA,DAL,TOR,1,"$1,349,383","$1,349,383",$0,$0,"$1,349,383","$1,349,383"
Malcolm Miller,2018,SF,UFA,TOR,TOR,1,"$1,349,383","$1,349,383",$0,$0,"$1,349,383","$1,349,383"
Klay Thompson,2019,SG,UFA,GSW,GSW,5,"$189,903,600","$37,980,720","$189,903,600","$189,903,600","$32,742,000","$32,742,000"
Tobias Harris,2019,PF,UFA,PHI,PHI,5,"$180,000,000","$36,000,000","$180,000,000","$180,000,000","$32,742,000","$32,742,000"
Khris Middleton,2019,SF,UFA,MIL,MIL,5,"$177,500,000","$35,500,000","$177,500,000","$177,500,000","$30,603,448","$30,603,448"
Kevin Durant,2019,SF,UFA,GSW,BKN,4,"$164,255,700","$41,063,925","$159,955,700","$159,955,700","$38,199,000","$37,199,000"
Kristaps Porzingis,2019,PF,RFA,DAL,DAL,5,"$158,253,000","$31,650,600",$0,"$158,253,000",$0,$0
Kemba Walker,2019,PG,UFA,CHA,BOS,4,"$140,790,600","$35,197,650",$0,"$140,790,600",$0,$0
Jimmy Butler,2019,SF,UFA,PHI,MIA,4,"$140,790,600","$35,197,650",$0,"$140,790,600",$0,$0
Kyrie Irving,2019,PG,UFA,BOS,BKN,4,"$136,490,600","$34,122,650",$0,"$136,490,600",$0,$0
D'Angelo Russell,2019,PG,RFA,BKN,GSW,4,"$117,325,500","$29,331,375",$0,"$117,325,500",$0,$0
Al Horford,2019,C,UFA,BOS,PHI,4,"$109,000,000","$27,250,000",$0,"$97,000,000",$0,$0
Kawhi Leonard,2019,SF,UFA,TOR,LAC,3,"$103,137,300","$34,379,100",$0,"$103,137,300",$0,$0
Nikola Vucevic,2019,C,UFA,ORL,ORL,4,"$100,000,000","$25,000,000",$0,"$100,000,000",$0,$0
Harrison Barnes,2019,PF,UFA,SAC,SAC,4,"$85,000,000","$21,250,000","$85,000,000","$85,000,000","$24,147,727","$24,147,727"
Malcolm Brogdon,2019,PG,RFA,MIL,IND,4,"$85,000,000","$21,250,000","$85,000,000","$85,000,000","$20,000,000","$20,000,000"
Bojan Bogdanovic,2019,SF,UFA,IND,UTA,4,"$73,100,000","$18,275,000",$0,"$73,100,000",$0,$0
Julius Randle,2019,PF,UFA,NOP,NYK,3,"$62,100,000","$20,700,000",$0,"$62,100,000",$0,$0
Terry Rozier,2019,PG,RFA,BOS,CHA,3,"$56,700,000","$18,900,000",$0,"$56,700,000",$0,$0
Terrence Ross,2019,SG,UFA,ORL,ORL,4,"$54,000,000","$13,500,000",$0,"$50,000,000",$0,$0
Brook Lopez,2019,C,UFA,MIL,MIL,4,"$52,000,000","$13,000,000",$0,"$52,000,000",$0,$0
Ricky Rubio,2019,PG,UFA,UTA,PHX,3,"$51,000,000","$17,000,000",$0,"$51,000,000",$0,$0
Jonas Valanciunas,2019,C,UFA,MEM,MEM,3,"$45,000,000","$15,000,000",$0,"$45,000,000",$0,$0
Thaddeus Young,2019,PF,UFA,IND,CHI,3,"$43,635,000","$14,545,000",$0,"$32,445,000",$0,$0
Patrick Beverley,2019,PG,UFA,LAC,LAC,3,"$40,000,000","$13,333,333",$0,"$40,000,000",$0,$0
Dewayne Dedmon,2019,C,UFA,ATL,SAC,3,"$40,000,000","$13,333,333",$0,"$26,666,667",$0,$0
DeAndre Jordan,2019,C,UFA,NYK,BKN,4,"$39,960,716","$9,990,179",$0,"$39,960,716",$0,$0
Cory Joseph,2019,PG,UFA,IND,SAC,3,"$37,200,000","$12,400,000","$24,600,000","$24,600,000","$12,000,000","$12,000,000"
Maxi Kleber,2019,PF,RFA,DAL,DAL,4,"$35,600,000","$8,900,000",$0,"$24,800,000",$0,$0
Rudy Gay,2019,PF,UFA,SAS,SAS,2,"$32,000,000","$16,000,000",$0,"$28,000,000",$0,$0
Seth Curry,2019,SG,UFA,POR,DAL,4,"$32,000,000","$8,000,000",$0,"$32,000,000","$2,898,000","$2,898,000"
Jeremy Lamb,2019,SG,UFA,CHA,IND,3,"$31,500,000","$10,500,000",$0,"$31,500,000",$0,$0
Kelly Oubre Jr.,2019,SF,RFA,PHX,PHX,2,"$30,000,000","$15,000,000",$0,"$30,000,000",$0,$0
Tomas Satoransky,2019,SG,RFA,WAS,CHI,3,"$30,000,000","$10,000,000",$0,"$25,000,000","$2,870,813","$2,870,813"
Al-Farouq Aminu,2019,PF,UFA,POR,ORL,3,"$29,162,700","$9,720,900","$29,162,700","$29,162,700","$9,258,000","$9,258,000"
George Hill,2019,PG,UFA,MIL,MIL,3,"$28,771,806","$9,590,602",$0,"$20,000,000",$0,$0
Delon Wright,2019,PG,RFA,MEM,DAL,2,"$28,050,000","$14,025,000","$27,000,000","$27,000,000","$9,473,684","$9,473,684"
J.J. Redick,2019,SG,UFA,PHI,NOP,2,"$26,500,000","$13,250,000",$0,"$26,500,000",$0,$0
Tyus Jones,2019,PG,RFA,MIN,MEM,3,"$26,445,300","$8,815,100","$23,895,300","$23,895,300","$9,258,000","$8,408,000"
Trevor Ariza,2019,SF,UFA,WAS,SAC,2,"$25,000,000","$12,500,000",$0,"$14,000,000",$0,$0
Ivica Zubac,2019,C,RFA,LAC,LAC,3,"$21,000,000","$7,000,000",$0,"$21,000,000","$1,034,956","$1,034,956"
DeMarre Carroll,2019,SF,UFA,BKN,SAS,3,"$20,650,000","$6,883,333",$0,"$15,000,000",$0,$0
Taj Gibson,2019,PF,UFA,MIN,NYK,2,"$20,000,000","$10,000,000",$0,"$20,000,000",$0,$0
Nene Hilario,2019,C,UFA,HOU,HOU,2,"$20,000,000","$10,000,000",$0,"$2,564,753",$0,$0
Kentavious Caldwell-Pope,2019,SG,UFA,LAL,LAL,2,"$16,583,028","$8,291,514",$0,"$16,583,028",$0,$0
Elfrid Payton,2019,PG,UFA,NOP,NYK,2,"$16,000,000","$8,000,000",$0,"$9,000,000",$0,$0
Wayne Ellington,2019,SG,UFA,DET,NYK,2,"$16,000,000","$8,000,000","$2,383,076","$9,000,000","$2,383,076","$2,383,076"
Marcus Morris Sr.,2019,SF,UFA,BOS,NYK,1,"$15,000,000","$15,000,000",$0,"$15,000,000",$0,$0
Bobby Portis,2019,PF,UFA,WAS,NYK,1,"$15,000,000","$15,000,000",$0,"$15,000,000",$0,$0
Derrick Rose,2019,PG,UFA,MIN,DET,2,"$15,000,000","$7,500,000",$0,"$15,000,000",$0,$0
Rodney McGruder,2019,SG,RFA,LAC,LAC,3,"$15,000,000","$5,000,000",$0,"$10,000,000",$0,$0
Kevon Looney,2019,C,UFA,GSW,GSW,3,"$14,464,287","$4,821,429","$14,464,287","$14,464,287","$4,464,286","$4,464,286"
Darius Miller,2019,SF,UFA,NOP,NOP,2,"$14,250,000","$7,125,000","$7,250,000","$7,250,000","$7,250,000","$7,250,000"
Jabari Parker,2019,PF,UFA,WAS,ATL,2,"$13,000,000","$6,500,000","$13,000,000","$13,000,000","$6,500,000","$6,500,000"
Dorian Finney-Smith,2019,PF,RFA,DAL,DAL,3,"$12,000,000","$4,000,000",$0,"$12,000,000",$0,$0
Rodney Hood,2019,SF,UFA,POR,POR,2,"$11,721,900","$5,860,950",$0,"$11,721,900",$0,$0
Jake Layman,2019,SF,RFA,POR,MIN,3,"$11,283,255","$3,761,085","$11,283,255","$11,283,255","$3,581,986","$3,581,986"
Danuel House Jr.,2019,SF,RFA,HOU,HOU,3,"$11,151,000","$3,717,000",$0,"$11,151,000",$0,$0
Trey Lyles,2019,PF,UFA,DEN,SAS,2,"$11,000,000","$5,500,000",$0,"$6,500,000",$0,$0
Daniel Theis,2019,C,RFA,BOS,BOS,2,"$10,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Mike Scott,2019,PF,UFA,PHI,PHI,2,"$9,800,000","$4,900,000","$9,800,000","$9,800,000","$4,780,488","$4,780,488"
Robin Lopez,2019,C,UFA,CHI,MIL,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
Richaun Holmes,2019,C,UFA,PHX,SAC,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
JaMychal Green,2019,PF,UFA,LAC,LAC,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
Ed Davis,2019,C,UFA,BKN,UTA,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
Avery Bradley,2019,PG,UFA,MEM,LAL,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
Reggie Bullock,2019,SF,UFA,LAL,NYK,2,"$8,200,000","$4,100,000",$0,"$5,000,000",$0,$0
JaVale McGee,2019,C,UFA,LAL,LAL,2,"$8,200,000","$4,100,000",$0,"$8,200,000",$0,$0
Patrick McCaw,2019,SG,RFA,TOR,TOR,2,"$8,000,000","$4,000,000","$8,000,000","$8,000,000","$4,000,000","$4,000,000"
Stanley Johnson,2019,SF,UFA,NOP,TOR,2,"$7,427,150","$3,713,575",$0,"$7,427,150",$0,$0
T.J. McConnell,2019,PG,UFA,PHI,IND,2,"$7,000,000","$3,500,000",$0,"$4,500,000",$0,$0
Boban Marjanovic,2019,C,UFA,PHI,DAL,2,"$7,000,000","$3,500,000",$0,"$7,000,000",$0,$0
Markieff Morris,2019,PF,UFA,OKC,DET,2,"$6,560,000","$3,280,000",$0,"$6,560,000",$0,$0
Khem Birch,2019,C,RFA,ORL,ORL,2,"$6,000,000","$3,000,000","$6,000,000","$6,000,000","$3,000,000","$3,000,000"
Quinn Cook,2019,PG,UFA,GSW,LAL,2,"$6,000,000","$3,000,000",$0,"$3,000,000",$0,$0
Ryan Arcidiacono,2019,PG,RFA,CHI,CHI,2,"$6,000,000","$3,000,000",$0,"$6,000,000","$1,349,383","$1,349,383"
Alex Caruso,2019,SG,RFA,LAL,LAL,2,"$5,500,000","$2,750,000",$0,"$5,500,000",$0,$0
Wesley Matthews,2019,SG,UFA,IND,MIL,2,"$5,257,744","$2,628,872",$0,"$5,257,744",$0,$0
Rajon Rondo,2019,PG,UFA,LAL,LAL,2,"$5,184,358","$2,592,179",$0,"$5,184,358",$0,$0
Vincent Poirier,2019,C,UFA,,BOS,2,"$5,125,000","$2,562,500","$5,125,000","$5,125,000","$2,505,793","$2,505,793"
Frank Kaminsky,2019,C,UFA,CHA,PHX,1,"$4,767,000","$4,767,000",$0,"$4,767,000",$0,$0
Garrett Temple,2019,SG,UFA,LAC,BKN,1,"$4,767,000","$4,767,000",$0,"$4,767,000",$0,$0
Justin Holiday,2019,SG,UFA,MEM,IND,1,"$4,767,000","$4,767,000","$9,000,000","$4,767,000","$4,390,244","$4,390,244"
Austin Rivers,2019,SG,UFA,HOU,HOU,2,"$4,543,981","$2,271,991",$0,"$4,543,981","$3,110,796","$3,110,796"
Luke Kornet,2019,C,UFA,NYK,CHI,2,"$4,500,000","$2,250,000","$4,500,000","$4,500,000","$2,250,000","$2,250,000"
Willie Cauley-Stein,2019,C,UFA,SAC,GSW,2,"$4,463,840","$2,231,920",$0,"$4,463,840",$0,$0
Mike Muscala,2019,C,UFA,LAL,OKC,2,"$4,311,628","$2,155,814","$4,311,628","$4,311,628","$2,028,594","$2,028,594"
Matt Thomas,2019,SG,UFA,,TOR,3,"$4,198,912","$1,399,637","$1,623,310","$1,623,310","$898,310","$898,310"
Edmond Sumner,2019,SG,RFA,IND,IND,2,"$4,160,000","$2,080,000","$4,160,000","$4,160,000","$2,000,000","$2,000,000"
James Ennis III,2019,SF,UFA,PHI,PHI,2,"$4,012,890","$2,006,445","$3,466,716","$4,012,890","$1,621,415","$1,621,415"
Dragan Bender,2019,PF,UFA,PHX,MIL,2,"$3,502,857","$1,751,429","$300,000","$300,000","$1,678,854","$1,678,854"
DeMarcus Cousins,2019,C,UFA,GSW,LAL,1,"$3,500,000","$3,500,000",$0,"$3,500,000",$0,$0
Tyler Lydon,2019,PF,UFA,DEN,SAC,2,"$3,383,360","$1,691,680","$50,000","$50,000","$1,620,564","$1,620,564"
Furkan Korkmaz,2019,SG,UFA,PHI,PHI,2,"$3,383,360","$1,691,680","$1,620,564","$1,620,564","$1,620,564","$1,620,564"
Isaiah Taylor,2019,PG,UFA,CLE,TOR,2,"$3,383,360","$1,691,680",$0,"$50,000",$0,$0
Wilson Chandler,2019,SF,UFA,LAC,BKN,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jose Barea,2019,PG,UFA,DAL,DAL,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jared Dudley,2019,SF,UFA,BKN,LAL,1,"$2,564,753","$2,564,753",$0,"$2,564,753","$9,569,378","$9,569,378"
Ryan Anderson,2019,PF,UFA,MIA,HOU,1,"$2,564,753","$2,564,753","$250,000","$250,000","$1,620,564","$2,564,753"
Kyle Korver,2019,SG,UFA,PHX,MIL,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Thabo Sefolosha,2019,SF,UFA,UTA,HOU,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Anthony Tolliver,2019,PF,UFA,MIN,POR,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Jeff Green,2019,PF,UFA,WAS,UTA,1,"$2,564,753","$2,564,753","$2,328,652","$2,564,753","$1,471,382","$2,328,652"
Dwight Howard,2019,C,UFA,MEM,LAL,1,"$2,564,753","$2,564,753",$0,$0,$0,$0
Vince Carter,2019,SG,UFA,ATL,ATL,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Udonis Haslem,2019,PF,UFA,MIA,MIA,1,"$2,564,753","$2,564,753",$0,"$2,564,753","$4,000,000","$4,000,000"
Tyson Chandler,2019,C,UFA,LAL,HOU,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Pau Gasol,2019,C,UFA,MIL,POR,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Joe Johnson,2019,SG,UFA,,DET,1,"$2,564,753","$2,564,753",$0,$0,"$1,620,564","$2,564,753"
Rondae Hollis-Jefferson,2019,SF,UFA,BKN,TOR,1,"$2,500,000","$2,500,000",$0,"$2,500,000",$0,$0
Patrick Patterson,2019,PF,UFA,OKC,LAC,1,"$2,331,593","$2,331,593",$0,"$2,331,593",$0,$0
Alec Burks,2019,SG,UFA,SAC,GSW,1,"$2,320,044","$2,320,044",$0,"$2,320,044",$0,$0
Isaiah Thomas,2019,PG,UFA,DEN,WAS,1,"$2,320,044","$2,320,044",$0,"$2,320,044",$0,$0
Iman Shumpert,2019,SG,UFA,HOU,BKN,1,"$2,031,677","$2,031,677",$0,$0,"$1,324,594","$2,031,677"
Troy Daniels,2019,SG,UFA,PHX,LAL,1,"$2,028,594","$2,028,594","$2,028,594","$2,028,594","$1,620,564","$2,028,594"
Trey Burke,2019,PG,UFA,DAL,PHI,1,"$2,028,594","$2,028,594",$0,"$405,000","$1,471,382","$1,577,230"
Michael Carter-Williams,2019,PG,UFA,ORL,ORL,1,"$2,028,594","$2,028,594",$0,"$2,028,594",$0,$0
Kyle O'Quinn,2019,C,UFA,IND,PHI,1,"$2,028,594","$2,028,594","$4,449,000","$2,028,594","$4,449,000","$4,449,000"
Glenn Robinson III,2019,SF,UFA,DET,GSW,1,"$1,882,867","$1,882,867","$1,882,867","$1,882,867","$1,620,564","$1,882,867"
Tim Frazier,2019,PG,UFA,MIL,DET,1,"$1,882,867","$1,882,867","$1,882,867","$1,882,867","$1,620,564","$1,882,867"
Jarell Martin,2019,PF,UFA,ORL,CLE,1,"$1,737,145","$1,737,145",$0,$0,"$1,620,564","$1,737,145"
Emmanuel Mudiay,2019,PG,UFA,NYK,UTA,1,"$1,737,145","$1,737,145","$1,737,145","$1,737,145","$1,620,564","$1,737,145"
Raul Neto,2019,PG,UFA,UTA,PHI,1,"$1,737,145","$1,737,145",$0,"$1,737,145","$900,000","$900,000"
Anthony Bennett,2019,PF,UFA,,HOU,1,"$1,737,145","$1,737,145",$0,$0,"$1,620,564","$1,737,145"
JaKarr Sampson,2019,SF,UFA,CHI,IND,1,"$1,737,145","$1,737,145",$0,"$1,737,145",$0,$0
Timothe Luwawu-Cabarrot,2019,SG,UFA,CHI,CLE,1,"$1,678,854","$1,678,854",$0,$0,$0,$0
Cheick Diallo,2019,PF,UFA,NOP,PHX,1,"$1,678,854","$1,678,854","$1,678,854","$1,678,854","$1,678,854","$1,678,854"
Sindarius Thornwell,2019,SG,UFA,LAC,CLE,1,"$1,620,564","$1,620,564","$2,193,857",$0,"$815,615",$81
P.J. Dozier,2019,PG,UFA,BOS,DEN,1,"$1,620,564","$1,620,564",$0,$0,"$1,620,564","$1,620,564"
Devin Robinson,2019,SF,UFA,WAS,TOR,1,"$1,620,564","$1,620,564",$0,$0,"$1,620,564","$1,620,564"
Brad Wanamaker,2019,PG,UFA,BOS,BOS,1,"$1,445,697","$1,445,697","$838,464","$1,445,697","$838,464","$838,464"
Thomas Welsh,2019,C,UFA,DEN,CHA,1,"$1,445,697","$1,445,697",$0,$0,"$1,445,697","$1,445,697"
Theo Pinson,2019,SG,UFA,BKN,BKN,1,"$1,445,697","$1,445,697","$1,445,697","$1,445,697","$1,445,697","$1,445,697"
Shaquille Harrison,2019,PG,UFA,CHI,CHI,1,"$898,310","$898,310","$175,000","$175,000","$898,310","$898,310"
Anthony Davis,2020,C,UFA,LAL,LAL,5,"$189,903,600","$37,980,720","$189,903,600","$189,903,600","$32,742,000","$32,742,000"
Brandon Ingram,2020,SF,RFA,NOP,NOP,5,"$158,253,000","$31,650,600",$0,"$158,253,000",$0,$0
Gordon Hayward,2020,SF,UFA,BOS,CHA,4,"$120,000,000","$30,000,000",$0,"$120,000,000",$0,$0
Fred VanVleet,2020,PG,UFA,TOR,TOR,4,"$85,000,000","$21,250,000",$0,"$85,000,000",$0,$0
Davis Bertans,2020,PF,UFA,WAS,WAS,5,"$80,000,000","$16,000,000",$0,"$69,000,000",$0,$0
Joe Harris,2020,SG,UFA,BKN,BKN,4,"$75,000,000","$18,750,000",$0,"$72,000,000","$980,431","$980,431"
Bogdan Bogdanovic,2020,SG,RFA,SAC,ATL,4,"$72,000,000","$18,000,000","$72,000,000","$72,000,000","$16,744,186","$16,744,186"
Marcus Morris Sr.,2020,SF,UFA,LAC,LAC,4,"$64,000,000","$16,000,000",$0,"$64,000,000",$0,$0
Danilo Gallinari,2020,PF,UFA,OKC,ATL,3,"$61,425,000","$20,475,000","$65,000,000","$44,975,000","$20,559,599","$20,559,599"
Jerami Grant,2020,PF,UFA,DEN,DET,3,"$60,007,500","$20,002,500",$0,"$60,007,500",$0,$0
Malik Beasley,2020,SG,RFA,MIN,MIN,4,"$60,000,000","$15,000,000",$0,"$43,475,894",$0,$0
Jordan Clarkson,2020,SG,UFA,UTA,UTA,4,"$51,520,000","$12,880,000",$0,"$51,520,000",$0,$0
Christian Wood,2020,PF,UFA,DET,HOU,3,"$41,000,000","$13,666,667",$0,"$41,000,000",$0,$0
Kentavious Caldwell-Pope,2020,SG,UFA,LAL,LAL,3,"$39,116,585","$13,038,862",$0,"$30,000,000",$0,$0
De'Anthony Melton,2020,SG,RFA,MEM,MEM,4,"$34,627,688","$8,656,922","$28,127,688","$28,127,688","$9,571,712","$9,571,712"
Jae Crowder,2020,SF,UFA,MIA,PHX,3,"$29,162,700","$9,720,900",$0,"$29,162,700",$0,$0
Derrick Favors,2020,C,UFA,NOP,UTA,3,"$29,162,700","$9,720,900","$29,162,700","$29,162,700","$9,258,000","$9,258,000"
Dario Saric,2020,PF,RFA,PHX,PHX,3,"$27,000,000","$9,000,000","$27,000,000","$27,000,000","$9,250,000","$9,250,000"
Jakob Poeltl,2020,C,RFA,SAS,SAS,3,"$26,250,000","$8,750,000",$0,"$26,250,000",$0,$0
Mason Plumlee,2020,C,UFA,DEN,DET,3,"$24,662,500","$8,220,833","$20,400,000","$20,400,000","$8,000,000","$8,000,000"
Juancho Hernangomez,2020,PF,RFA,MIN,MIN,3,"$21,037,320","$7,012,440","$11,893,440","$11,893,440","$6,493,000","$6,493,000"
D.J. Augustin,2020,PG,UFA,ORL,MIL,3,"$21,000,000","$7,000,000",$0,"$14,000,000",$0,$0
Rodney Hood,2020,SF,UFA,POR,POR,2,"$20,898,696","$10,449,348",$0,"$10,047,450",$0,$0
Montrezl Harrell,2020,C,UFA,LAC,LAL,2,"$18,978,900","$9,489,450",$0,"$18,978,900",$0,$0
Derrick Jones Jr.,2020,SF,UFA,MIA,POR,2,"$18,978,900","$9,489,450","$18,978,900","$18,978,900","$9,258,000","$9,258,000"
Tristan Thompson,2020,C,UFA,CLE,BOS,2,"$18,978,900","$9,489,450",$0,"$18,978,900",$0,$0
Serge Ibaka,2020,C,UFA,TOR,LAC,2,"$18,978,900","$9,489,450",$0,"$18,978,900",$0,$0
Justin Holiday,2020,SG,UFA,IND,IND,3,"$18,019,260","$6,006,420","$18,019,260","$18,019,260","$5,720,400","$5,720,400"
Goran Dragic,2020,PG,UFA,MIA,MIA,1,"$18,000,000","$18,000,000",$0,"$18,000,000",$0,$0
Pat Connaughton,2020,SG,UFA,MIL,MIL,3,"$16,000,000","$5,333,333","$16,000,000","$16,000,000","$4,938,273","$4,938,273"
Rajon Rondo,2020,PG,UFA,LAL,ATL,2,"$15,000,000","$7,500,000",$0,"$15,000,000",$0,$0
JaMychal Green,2020,PF,UFA,LAC,DEN,2,"$14,759,508","$7,379,754",$0,"$14,759,508",$0,$0
Aron Baynes,2020,C,UFA,PHX,TOR,2,"$14,350,000","$7,175,000",$0,"$7,000,000","$6,500,000","$6,500,000"
Chris Boucher,2020,PF,RFA,TOR,TOR,2,"$13,520,000","$6,760,000",$0,"$6,500,000","$838,464","$838,464"
Jevon Carter,2020,PG,RFA,PHX,PHX,3,"$11,500,000","$3,833,333",$0,"$11,500,000",$0,$0
Kris Dunn,2020,PG,UFA,CHI,ATL,2,"$10,000,000","$5,000,000",$0,"$10,000,000",$0,$0
Paul Millsap,2020,PF,UFA,DEN,DEN,1,"$10,000,000","$10,000,000","$10,000,000","$10,000,000","$10,000,000","$10,000,000"
Austin Rivers,2020,SG,UFA,HOU,NYK,3,"$9,975,000","$3,325,000",$0,"$3,500,000",$0,$0
Josh Jackson,2020,SG,UFA,MEM,DET,2,"$9,772,350","$4,886,175",$0,"$9,772,350",$0,$0
Trey Burke,2020,PG,UFA,DAL,DAL,3,"$9,450,000","$3,150,000",$0,"$9,450,000",$0,$0
Meyers Leonard,2020,C,UFA,MIA,MIA,1,"$9,400,000","$9,400,000",$0,"$9,400,000",$0,$0
John Konchar,2020,SG,RFA,MEM,MEM,4,"$9,000,000","$2,250,000","$5,140,000","$5,140,000","$2,100,000","$2,100,000"
Willie Cauley-Stein,2020,C,UFA,DAL,DAL,2,"$8,200,000","$4,100,000","$8,200,000","$8,200,000","$4,000,000","$4,000,000"
Bobby Portis,2020,PF,UFA,NYK,MIL,2,"$7,427,150","$3,713,575",$0,"$7,427,150",$0,$0
Robin Lopez,2020,C,UFA,MIL,WAS,1,"$7,300,000","$7,300,000",$0,"$7,300,000",$0,$0
Michael Carter-Williams,2020,PG,UFA,ORL,ORL,2,"$6,600,000","$3,300,000",$0,"$6,600,000",$0,$0
Alec Burks,2020,SG,UFA,PHI,NYK,1,"$6,000,000","$6,000,000","$6,000,000","$6,000,000","$6,000,000","$6,000,000"
